Index,Title,URL,Author,Year
1.0,End-User Development of Web-based Decision Support Systems,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Tschudnowsky, Alexey",2017.0
2.0,Enhancing Security in Managing Personal Data by Web Systems,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Wild, Stefan",2017.0
3.0,Web Migration - A Survey Considering the SME Perspective,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Heil, Sebastian et al.",2017.0
4.0,AWSM Agile Web Migration for SMEs,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Heil, Sebastian et al.",2016.0
5.0,Search Interaction Optimization : A Human-Centered Design Approach,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Speicher, Maximilian",2016.0
6.0,SmartComposition: Bringing Component-Based Software Engineering to the Web,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Krug, Michael et al.",2015.0
7.0,Enriching Web Applications Efficiently with Real-Time Collaboration Capabilities,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Heinrich, Matthias",2014.0
8.0,Analyzing the Suitability of Web Applications for a Single-User to Multi-User Transformation,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Heinrich, Matthias et al.",2013.0
9.0,Enriching Single-User Web Applications Non-Invasively with Shared Editing Support,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Heinrich, Matthias et al.",2013.0
10.0,Exploiting Annotations for the Rapid Development of Collaborative Web Applications,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Heinrich, Matthias et al.",2013.0
11.0,GAwI: A Comprehensive Workspace Awareness Library for Collaborative Web Applications,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Heinrich, Matthias et al.",2013.0
12.0,End-User-Development and Evolution of Web Applications: The WebComposition EUD Approach,https://www.bibliothek.tu-chemnitz.de/uni_biblio/frontdoor.php?source_opus=24019&la=de,"Chudnovskyy, Olexiy et al.",2012.0
