Title,Authors,Research Area
Querying the Semantic Web for Concept Identifiers to Annotate Research Datasets,"
                        André Langer, Christoph Göpfert, Martin Gaedke
                    ",Intelligent Information Management
A Bot-Enabled Approach for Web Service Discovery,"
                        Bahareh Zarei, Mahda Noura, Martin Gaedke
                    ",Web Engineering
Natural Language Goal Understanding for Smart Home Environments,"
                        Mahda Noura, Sebastian Heil, Martin Gaedke
                    ",Web Engineering
TUCfis: Applying VIVO as the new Research Information System of Chemnitz University of Technology,"
                        Dang Vu Nguyen Hai, André Langer, Martin Gaedke
                    ",Intelligent Information Management
SolidRDP: Applying Solid Data Containers for Research Data Publishing,"
                        André Langer, Dang Vu Nguyen Hai, Martin Gaedke
                    ",Intelligent Information Management
VISH: Does Your Smart Home Dialogue System Also Need Training Data?,"
                        Mahda Noura, Sebastian Heil, Martin Gaedke
                    ",Web Engineering
Improving Fake Product Detection Using AI-Based Technology,"
                        Eduard Daoud, Dang Vu Nguyen Hai, Hung Nguyen, Martin Gaedke
                    ",Intelligent Information Management
I Don’t Have That Much Data! Reusing User Behavior Models for Websites from Different Domains,"
                        Maxim Bakaev, Maximilian Speicher, Sebastian Heil, Martin Gaedke
                    ",Web Engineering
Towards gait analysis - Creating a setup for the analyses under laboratory conditions.,"
                        Maik Benndorf, Martin Gaedke, Thomas Haenselmann
                    ",Web Engineering
Decentralizing Products Certificates Using Blockchain Technology,"
                        Eduard Daoud, Martin Gaedke
                    ",Intelligent Information Management
Assessing Completeness in Training Data for Image-Based Analysis of Web User Interfaces,"
                        Sebastian Heil, Maxim Bakaev, Martin Gaedke
                    ",Web Engineering
Motivation Enhancement in mHealth via Gamification,"
                        Felix Kettner, André Langer, Kim Schmidt, Martin Gaedke
                    ",Environment Aware Applications
WoTDL: Web of Things Description Language for Automatic Composition ,"
                        Mahda Noura, Martin Gaedke
                    ",Web Engineering
MPCC - Generic Secure Multi-Party Computation in Centralized Cloud-based  Environments,"
                        Philip Kaiser, André Langer, Martin Gaedke
                    ",Intelligent Information Management
Analysis of current RDM applications for the interdisciplinary publication of research data,"
                        André Langer, Ellen Bilz, Martin Gaedke
                    ",Intelligent Information Management
PIROL: Cross-domain Research Data Publishing with Linked Data technologies,"
                        André Langer, Martin Gaedke
                    ",Intelligent Information Management
Content- and Context-Related Trust in Open Multi-agent Systems Using Linked Data,"
                        Valentin Siegert
                    ",Web Engineering
Webifying Heterogenous Internet of Things Devices,"
                        Mahda Noura, Sebastian Heil, Martin Gaedke
                    ",Web Engineering
Crowdsourced Reverse Engineering: Experiences in Applying Crowdsourcing to Concept Assignment,"
                        Sebastian Heil, Valentin Siegert, Martin Gaedke
                    ",Web Engineering
Decentralizing of Transparency: Using Blockchain to Reduce Counterfeiting,"
                        Eduard Daoud
                    ",Intelligent Information Management
Integration Platform for Metric-Based Analysis of Web User Interfaces,"
                        Maxim Bakaev, Sebastian Heil, Nikita Perminov, Martin Gaedke
                    ",Web Engineering
Auto-Extraction and Integration of Metrics for Web User Interfaces,"
                        Maxim Bakaev, Sebastian Heil, Vladimir Khvorostov, Martin Gaedke
                    ",Web Engineering
Search-based dashboards - Approach and Challenges,"
                        Eduard Daoud
                    ",Web Engineering
URI-aware user input interfaces for the unobtrusive reference to Linked Data,"
                        André Langer, Christoph Göpfert, Martin Gaedke
                    ",Intelligent Information Management
Concept Extraction from Web of Things Knowledge Bases,"
                        Mahda Noura, Amelie Gyrard, Sebastian Heil, Martin Gaedke
                    ",Web Engineering
Analysis and Prediction of University Websites Perceptions by Different User Groups,"
                        Maxim Bakaev, Tatiana Laricheva, Sebastian Heil, Martin Gaedke
                    ",Web Engineering
GOWDA: Goal-oriented Web Documents Querying tool,"
                        Bahareh Zarei, Martin Gaedke
                    ",Web Engineering
F.I.E.L.D.S. - Analyzing Form Input interfaces for Explicit Linked Data handling in document Submission systems,"
                        André Langer, Christoph Göpfert, Martin Gaedke
                    ",Intelligent Information Management
SemQuire - Assessing the Data Quality of Linked Open Data Sources.,"
                        André Langer, Valentin Siegert, Christoph Göpfert, Martin Gaedke
                    ",Intelligent Information Management
DaQAR - An ontology for the uniform exchange of comparable Linked Data Quality Assessment Requirements,"
                        André Langer, Martin Gaedke
                    ",Intelligent Information Management
Exploring Crowdsourced Reverse Engineering,"
                        Sebastian Heil, Martin Gaedke
                    ",Web Engineering
HCI Vision for Automated Analysis and Mining of Web User Interfaces,"
                        Maxim Bakaev, Sebastian Heil, Vladimir Khvorostov, Martin Gaedke
                    ",Web Engineering
Interoperability in Internet of Things: Taxonomies and Open Challenges,"
                        Mahda Noura, Mohammed Atiquzzaman, Martin Gaedke
                    ",Web Engineering
GrOWTH: Goal-Oriented End User Development for Web of Things Devices,"
                        Mahda Noura, Sebastian Heil, Martin Gaedke
                    ",Web Engineering
Natural-Language-Enabled End-User Tool Endowed with Ontology-based Development ,"
                        Bahareh Zarei, Sebastian Heil, Martin Gaedke
                    ",Web Engineering
ReWaMP: Rapid Web Migration Prototyping leveraging WebAssembly,"
                        Sebastian Heil, Valentin Siegert, Martin Gaedke
                    ",Web Engineering
"INFORMATIK 2017, Band 3","
                        Maximilian Eibl, Martin Gaedke
                    ",Web Engineering
"INFORMATIK 2017, Band 2","
                        Maximilian Eibl, Martin Gaedke
                    ",Web Engineering
"INFORMATIK 2017, Band 1","
                        Maximilian Eibl, Martin Gaedke
                    ",Web Engineering
ICWE 2016 Rapid Mashup Challenge: Challenge Outcome and Conclusion,"
                        Florian Daniel, Martin Gaedke
                    ",Web Engineering
The SmartComposition Approach for Creating Environment-Aware Multi-screen Mashups,"
                        Michael Krug, Fabian Wiedemann, Markus Ast, Martin Gaedke
                    ",Web Engineering
ICWE 2016 Rapid Mashup Challenge,"
                        Florian Daniel, Martin Gaedke
                    ",Web Engineering
ICWE 2016 Rapid Mashup Challenge: Introduction,"
                        Florian Daniel, Martin Gaedke
                    ",Web Engineering
Self-contained Web Components through Serverless Computing,"
                        Markus Ast, Martin Gaedke
                    ",Web Engineering
"Interoperability in Internet of Things Infrastructure: Classification, Challenges, and Future Work","
                        Mahda Noura, Mohammed Atiquzzaman, Martin Gaedke
                    ",Web Engineering
Enhancing Security in Managing Personal Data by Web Systems,"
                        Stefan Wild
                    ",Web Engineering
End-User Development of Web-based Decision Support Systems,"
                        Alexey Tschudnowsky
                    ",Web Engineering
Evaluation of User-Subjective Web Interface Similarity with Kansei Engineering-Based ANN,"
                        Maxim Bakaev, Sebastian Heil, Vladimir Khvorostov, Martin Gaedke
                    ",Web Engineering
Web Migration - A Survey Considering the SME Perspective,"
                        Sebastian Heil, Martin Gaedke
                    ",Web Engineering
Web Intelligence Linked Open Data for Website Design Reuse,"
                        Maxim Bakaev, Vladimir Khvorostov, Sebastian Heil, Martin Gaedke
                    ",Web Engineering
